City,Country,Date,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Lagos,NG,1567557831,6.46,3.39,75.82,92,100,6.53
Vostok,RU,1567557859,46.45,135.83,68.98,60,0,0.25
Hilo,US,1567557610,19.71,-155.08,87.8,55,1,12.75
Dali,CN,1567557862,34.79,109.94,71.14,58,91,11.21
Tuatapere,NZ,1567557678,-46.13,167.69,53.01,85,100,3
Arraial do Cabo,BR,1567557782,-22.97,-42.02,71.14,92,33,9.13
mys shmidta,,,,,,,,
Warrington,GB,1567557777,53.39,-2.59,62.6,93,40,8.05
Ponta do Sol,BR,1567557781,-20.63,-46,74.56,40,83,0.58
illoqqortoormiut,,,,,,,,
Orapa,BW,1567557870,-21.28,25.37,62.86,42,0,10.78
Hami,CN,1567557714,42.84,93.51,73.84,33,24,5.75
Suez,EG,1567557873,29.97,32.54,72.22,76,0,7.45
Chokurdakh,RU,1567557874,70.62,147.9,47.38,63,39,9.46
Itarema,BR,1567557783,-2.92,-39.92,77.08,75,0,12.24
Kapaa,US,1567557326,22.08,-159.32,87.8,58,1,10.29
Butaritari,KI,1567557776,3.07,172.79,84.46,66,51,3.06
Dunedin,NZ,1567557879,-45.87,170.5,51.01,75,100,23
New Norfolk,AU,1567557387,-42.78,147.06,55.4,54,75,12.75
Thompson,CA,1567557652,55.74,-97.86,51.8,87,90,11.41
Chantada,ES,1567557883,42.61,-7.77,70,72,0,4.7
Nushki,PK,1567557884,29.55,66.02,74.74,20,0,2.46
Harper,US,1567557886,30.3,-99.24,91.4,31,1,4.7
Hermanus,ZA,1567557599,-34.42,19.24,55,95,78,1.01
Buldana,IN,1567557888,20.53,76.18,71.5,93,100,7.18
Saint George,GR,1567557884,39.45,22.34,68,72,20,1.66
Rikitea,PF,1567557891,-23.12,-134.97,71.68,89,100,15.21
Longyearbyen,NO,1567557892,78.22,15.63,32,95,90,2.24
Carnarvon,ZA,1567557893,-30.97,22.13,50.44,14,0,3.65
karkaralinsk,,,,,,,,
Cape Town,ZA,1567557601,-33.93,18.42,60.01,93,75,10.29
Khatanga,RU,1567557897,71.98,102.47,40.54,77,96,13.35
Omurtag,BG,1567557765,43.1,26.42,66.2,63,1,4.7
Qaanaaq,GL,1567557900,77.48,-69.36,30.46,53,7,4.81
Port Elizabeth,US,1567557901,39.31,-74.98,75.2,73,1,4.7
Alofi,NU,1567557693,-19.06,-169.92,78.8,74,75,13.87
Mataura,NZ,1567557327,-46.19,168.86,53.01,86,100,1.99
Vaini,IN,1567557905,15.34,74.49,69.8,100,75,11.41
Barrow,AR,1567557906,-38.31,-60.23,37.66,67,56,11.97
Cape Canaveral,US,1567557907,28.41,-80.6,78.01,100,90,13.2
Bredasdorp,ZA,1567557639,-34.53,20.04,55,76,76,6.93
Birao,CF,1567557910,10.3,22.78,73.48,94,100,6.15
Fuquay-Varina,US,1567557911,35.58,-78.8,82.99,74,1,5.5
vaitupu,,,,,,,,
Broome,GB,1567557607,52.47,1.45,64.4,77,89,9.17
Tabas,IR,1567557915,33.6,56.92,75.2,29,0,2.24
Egvekinot,RU,1567557916,66.32,-179.17,37.84,84,100,18.5
sidi bu zayd,,,,,,,,
Paamiut,GL,1567557919,61.99,-49.67,44.5,96,100,23.35
Touros,BR,1567557920,-5.2,-35.46,75.2,88,40,3.36
Albany,US,1567557891,42.65,-73.75,70,93,75,4.7
Victoria,BN,1567557923,5.28,115.24,84.2,79,75,2.24
barentsburg,,,,,,,,
Zhigansk,RU,1567557925,66.77,123.37,43.06,60,29,5.84
Nanakuli,US,1567557689,21.39,-158.15,89.6,48,40,12.75
Hobart,AU,1567557531,-42.88,147.33,55.4,54,75,12.75
Cherskiy,RU,1567557929,68.75,161.3,50.8,40,0,4.03
Chatellerault,FR,1567557930,46.8,0.53,57.2,71,0,3.36
Sitka,US,1567557667,37.17,-99.65,91,37,0,8.01
Narsaq,GL,1567557359,60.91,-46.05,46.4,87,100,5.82
Comodoro Rivadavia,AR,1567557765,-45.87,-67.48,41,48,40,12.75
Punta Arenas,CL,1567557773,-53.16,-70.91,37.4,59,0,8.05
Pangnirtung,CA,1567557814,66.15,-65.72,40.54,64,100,6.71
domoni,,,,,,,,
Farafangana,MG,1567557939,-22.82,47.83,62.86,98,41,3.04
Puerto Ayora,EC,1567557940,-0.74,-90.35,75.2,73,0,12.75
Busselton,AU,1567557942,-33.64,115.35,54,55,25,26.11
Walvis Bay,NA,1567557943,-22.95,14.51,53.01,93,0,1.99
Ayagoz,KZ,1567557944,47.96,80.43,49.18,49,51,11.74
Marakkanam,IN,1567557946,12.2,79.95,79.78,74,100,6.73
Ancud,CL,1567557656,-41.87,-73.83,42.8,67,0,6.93
Yelizavetino,RU,1567557948,51.83,44.83,49.36,79,0,5.19
Lompoc,US,1567557785,34.64,-120.46,87.01,72,1,11.41
Tuktoyaktuk,CA,1567557951,69.44,-133.03,53.6,62,20,12.75
Hithadhoo,MV,1567557587,-0.6,73.08,82.84,77,2,12.19
Bluff,AU,1567557775,-23.58,149.07,77.62,18,95,1.36
sorvag,,,,,,,,
Atuona,PF,1567557956,-9.8,-139.03,79.78,73,0,12.5
Poum,MK,1567557957,41.28,20.71,59.26,70,98,4.76
Flinders,AU,1567557793,-34.58,150.85,73,30,0,13.87
Saint-Pierre,FR,1567557959,48.95,4.24,55.4,82,0,4.7
taolanaro,,,,,,,,
Broken Hill,AU,1567557970,-31.97,141.45,71.6,26,0,11.41
Vila Velha,BR,1567557972,-3.71,-38.6,80.6,69,40,12.75
Ushuaia,AR,1567557973,-54.81,-68.31,35.6,69,40,21.92
